schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
1,クレジットポイント,,先生が持っているカードのポイント、通称「クレジット」。クレジットポイントは特定の状況で、現金のように自由に使える。,
2,青輝石,,大人のカードで購入できる神秘的な宝石。様々な商品を購入・取引できる。,
3,青輝石,,大人のカードで購入できる神秘的な宝石。様々な商品を購入・取引できる。,
4,青輝石,,大人のカードで購入できる神秘的な宝石。様々な商品を購入・取引できる。,
5,AP,,先生の体力の数値。様々な行動をするたびに消耗する。,
6,スケジュールチケット,,スケジュールで様々な場所に行くことができるチケット。,
7,戦術対抗戦チケット,,戦術対抗戦に参加できるチケット。,
8,総力戦チケット,,総力戦に挑戦できるチケット。,
9,指名手配（市街地戦）チケット,,指名手配に挑戦できるチケット。,
10,クレジット回収チケット,,特別依頼に挑戦できるチケット。,
11,拠点防衛チケット,,特別依頼に挑戦できるチケット。,
12,指名手配（屋外戦）チケット,,指名手配に挑戦できるチケット。,
13,指名手配（屋内戦）チケット,,指名手配に挑戦できるチケット。,
14,学園交流会（トリニティ）チケット,,学園交流会に参加できるチケット,
15,学園交流会（ゲヘナ）チケット,,学園交流会に参加できるチケット,
16,学園交流会（ミレニアム）チケット,,学園交流会に参加できるチケット,
17,演習チケット,,合同火力演習に参加するためのチケット,
18,熟達証書,,十分な経験を積んだ証として貰える証書。様々なアイテムと交換ができる。,
19,連合作戦チケット,,連合作戦に挑戦できるチケット。,
20,連合作戦チケットω,,特定の連合作戦に挑戦できるチケット。,
21,連合作戦チケットψ,,特定の連合作戦に挑戦できるチケット。,
22,指名手配チケット,,指名手配に挑戦できるチケット。,
23,学園交流会チケット,,学園交流会に参加できるチケット。,
