schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
1,初級強化珠,,装備を強化できる神秘的な珠。,
2,中級強化珠,,装備を強化できる神秘的な珠。,
3,上級強化珠,,装備を強化できる神秘的な珠。,
4,最上級強化珠,,装備を強化できる神秘的な珠。,
10,錆びたスプリング,,銃のトリガーを前進させるために使用されるスプリング。ひどい管理のされ方をしていたのか、あちこちが錆びついている。固有武器の強化に使用可能。,
11,普通のスプリング,,銃のトリガーを前進させるために使用されるスプリング。普通にきちんとした状態で、新品のように保存されていた。固有武器の強化に使用可能。,
12,クロムスプリング,,銃のトリガーを前進させるために使用されるスプリング。クロムの合金でできており、丈夫で錆びない。固有武器の強化に使用可能。,
13,チタンスプリング,,銃のトリガーを前進させるために使用されるスプリング。チタン合金でできており、丈夫な上に軽い。固有武器の強化に使用可能。,
20,錆びたハンマー,,引き金を引いた時に撃針に力を伝達するための部品。ひどい管理のされ方をしていたのか、あちこちが錆びついている。固有武器の強化に使用可能。,
21,普通のハンマー,,引き金を引いた時に撃針に力を伝達するための部品。普通にきちんとした状態で、新品のように保存されていた。固有武器の強化に使用可能。,
22,クロムハンマー,,引き金を引いた時に撃針に力を伝達するための部品。クロムの合金でできており、丈夫で錆びない。固有武器の強化に使用可能。,
23,チタンハンマー,,引き金を引いた時に撃針に力を伝達するための部品。チタン合金でできており、丈夫な上に軽い。固有武器の強化に使用可能。,
30,錆びた銃身,,打ち出される弾丸が通過する筒状の部品。ひどい管理のされ方をしていたのか、あちこちが錆びついている。固有武器の強化に使用可能。,
31,普通の銃身,,打ち出される弾丸が通過する筒状の部品。普通にきちんとした状態で、新品のように保存されていた。固有武器の強化に使用可能。,
32,クロム銃身,,打ち出される弾丸が通過する筒状の部品。クロムの合金でできており、丈夫で錆びない。固有武器の強化に使用可能。,
33,チタン銃身,,打ち出される弾丸が通過する筒状の部品。チタン合金でできており、丈夫な上に軽い。固有武器の強化に使用可能。,
40,錆びた撃針,,弾丸の雷管に衝撃を与えるための金属の部品。ひどい管理のされ方をしていたのか、あちこちが錆びついている。固有武器の強化に使用可能。,
41,普通の撃針,,弾丸の雷管に衝撃を与えるための金属の部品。普通にきちんとした状態で、新品のように保存されていた。固有武器の強化に使用可能。,
42,クロム撃針,,弾丸の雷管に衝撃を与えるための金属の部品。クロムの合金でできており、丈夫で錆びない。固有武器の強化に使用可能。,
43,チタン撃針,,弾丸の雷管に衝撃を与えるための金属の部品。チタン合金でできており、丈夫な上に軽い。固有武器の強化に使用可能。,
1000,無地のキャップ,,スポーツウェアブランド「サーバル」が発売した、藍色で無地のキャップ。色んなバッジをつけて個性を強調できるので、ファッショングッズとして愛されている。,
1001,ニット帽,,アウトドアブランド「マナスル」の、女子高生をターゲットにしたニット帽。保温性はやや心許ないが、デザインの可愛さで人気の商品。,
1002,ビッグブラザーの中折れ帽,,「モモフレンズ」のキャラクター、ビッグブラザーのぬいぐるみがついた小さな中折れ帽。この帽子をかぶると急にビッグブラザーの視線が感じられるという。,
1003,リボン付きベレー帽,,トリニティ総合学園の校帽としても採用されている、白色のリボン付きベレー帽。実際に被ってみると、そのボリューム感を生かす着こなしは思ったより難しいとのこと。,
1004,防弾ヘルメット,,飛来するあらゆるものから頭部を守ることができる頑丈な防弾ヘルメット。外側は柔らかい綿素材で覆われており、ワッペンなどを付けて飾ることができる。,
1005,フリルのミニハット,,華やかなフリルで飾られたミニハット。フリルの裏側には小さなヘアピンが隠されており、形を固定させるための役割も担っている。,
1006,バケットハット,,顔の上部を隠せる大きめのバケットハット。マスクを合わせると顔の露出を最低限にでき、紫外線対策もバッチリ。,
1007,リーフリボン付き中折れ帽,,葉っぱの飾りがリボン状に差し込まれたファブリック素材の中折れ帽。リゾートファッションによく似合う。,
2000,スポーツグローブ,,滑りにくいよう、手のひら側がでこぼこになっているスポーツグローブ。材質に難燃素材を使用しているため、熱い銃身に触れる時も安心。,
2001,ニットのミトン,,アウトドアブランド「マナスル」の、女子高生をターゲットにした手袋。保温性はやや心許ないが、デザインの可愛さで人気の商品。,
2002,ペロロの鍋掴み,,「モモフレンズ」のマスコットキャラクター「ペロロ」デザインの白い鍋掴み。これを着けると、突然踊り出したくなるらしい。,
2003,レザーグローブ,,高級革を使用しているグローブ。耐久性はそれほど高くなく、主に式典やパーティなどで使われる。,
2004,タクティカルグローブ,,防炎素材を使用して作られた、丈夫なタクティカルグローブ。たとえ熱せられた棒を握ってたとしても問題無し！,
2005,レースのグローブ,,サテン素材で作られた、高級感のあるデザインのグローブ。熱に弱いため、火気を取り扱う際にはご注意。,
2006,アームカバー,,紫外線対策とファッション、その二つの要素を同時に求める生徒のためのアームカバー。季節の変わり目などにおススメ。,
2007,パールヤーングローブ,,真珠の装飾が施されたヤーングローブ。指の部分は露出しているので、精巧な作業をするのにも問題ない。,
3000,ピンクスニーカー,,スポーツウェアブランド「サーバル」から発売された、ピンク色のスニーカー。内側に柔らかい素材を使用しているため、ランニングに最適。,
3001,ムートンブーツ,,アウトドアブランド「マナスル」のブーツ。デザインの可愛らしさもさることながら、保温性にも優れており、寒い地方の女子高生たちに人気が高い。,
3002,ピンキーパカのスリッパ,,「モモフレンズ」のピンクのアルパカ、ピンキーパカをモチーフにしたスリッパ。ふかふかで断熱性もしっかりとしている。,
3003,アンティークなエナメルローファー,,トリニティ総合学園の生徒たちが履いているローファー。エナメル塗料で仕上げているため、光を受けると靴の先が輝く。,
