schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
10100,大運動会の壁掛け時計,,競技の開始を告げる壁掛け時計。定刻になると全力でスパートを始める。,
10101,大運動会のカラーコーン・レッド,,レッドカラーのカラーコーン。公正な試合には欠かせない一品。,
10102,大運動会のカラーコーン・ブルー,,ブルーカラーのカラーコーン。公正な試合には欠かせない一品。,
10103,大運動会のカラーコーン・スカイブルー,,スカイブルーカラーのカラーコーン。公正な試合には欠かせない一品。,
10104,大運動会のフラッグ・ライトブルー,,スカイブルーカラーのフラッグ。涼しい色は遠くからでも生徒たちの目を引く。,
10105,大運動会のフラッグ・ブルー,,ブルーカラーのフラッグ。まもなく試合が始まるような活気に満ちた兆しを感じさせる。,
10106,大運動会のフラッグ・イエロー,,イエローカラーのフラッグ。苛烈な試合を終えた後の生徒たちの休憩所を表示する。,
10107,大運動会のスポーツマット,,競技のルールがそのまま表現されたスポーツマット。どこでも活気に満ちた試合を行うことができる。,
10108,大運動会のマット・スカイブルー,,ほどよくふわふわのケガをする心配のない体操マット。,
10109,大運動会のマット・ブルー,,ほどよくふわふわのケガをする心配のない体操マット。,
10110,大運動会のマット・ベージュ,,ほどよくふわふわのケガをする心配のない体操マット。,
10111,大運動会のスコアボード,,選手たちの結果と応援団の士気を高めるスコアボード。見るだけでも緊張と興奮が湧きあがる。,
10112,大運動会の窓,,大運動会を眺めることができる窓。生徒たちが競技の真っ最中だ。,
10113,大運動会のベージュの柱,,大運動会の活気を感じられるベージュ色の柱。鮮やかに空間を構成できる。,
10200,大運動会のボール保管箱,,多様な球技種目に使用するボールの保管箱。いつでもボールを持ってくることができる。,
10201,エナジードリンクバスケット,,冷たい氷とともに備え付けられてたエナジードリンクのバスケット。一口で活気を取り戻すことができる。,
10202,大運動会のバスケットゴールポスト,,シンプルなデザインのバスケットゴールポスト。選手じゃなくても一度はダンクシュートを決めてみたくなる！,
10203,玉入れカゴ・イエロー,,イエロートーンのかわいい玉入れカゴ。色とりどりのボールを投げ入れてみよう！,
10204,玉入れカゴ・ブルー,,ブルートーンのかわいい玉入れカゴ。色とりどりのボールを投げ入れてみよう！,
10205,玉入れカゴ・スカイブルー,,ライトブルートーンのかわいい玉入れカゴ。色とりどりのボールを投げ入れてみよう！,
10206,大運動会の審判席,,試合を見守る審判席。誰よりも早く状況を把握できる。,
10207,大運動会のネット,,丈夫な素材で作られたネット。試合の緊張感あふれるラリーはこのネットで行われる。,
10208,大運動会の木の床,,丈夫に作られた木の床。摩擦力が高く、滑ることは少ない。,
10209,大運動会のペロロフラッグ装飾,,かわいいペロロがチアリーディングしてくれるフラッグの装飾。可愛さと応援を一度に！,
10210,大運動会の応援フラッグ装飾,,見ていると力が湧いてくる応援フラッグの装飾。鮮やかな色が情熱を燃やしてくれる。,
10211,大運動会の壁紙,,ライトベージュの壁紙。大運動会を輝かせる器具とよく合っている。,
10212,大運動会の背景,,大運動会を引き立ててくれる背景。大運動会の活気が伝わってくるようだ。,
10213,大運動会の立看板,,見る人の目を引く大運動会の立て看板。興味がなかった生徒もいつの間にか足を止めている。,
10214,大運動会の折りたたみ椅子,,頑丈な鉄製の折り畳みチェア。普段は折りたたんで保管できるため、収納性にも優れている。,
10215,大運動会の跳び箱,,誰だって跳びたくなる跳び箱。爽やかな色合いは大運動会にピッタリ。,
10300,大運動会のパン食い競走用スタンド,,おいしいドーナッツがずらりと並んでいるパン食い競走用のスタンド。美食家の生徒なら競技に参加したいかも？,
10301,大運動会の休憩テント,,心地よい休息を提供するテント。試合に疲れた体をしばらく休めるのに最適だ。,
10302,大運動会の応援スタンド,,応援するのにうってつけのスタンド。競技中の生徒を応援する熱気でいっぱいだ。,
10303,大運動会の器具保管箱,,様々な競技の小物が保管されている保管箱。人気の種目は早めに接近しなければならない！,
10304,大運動会のランチテーブル,,大運動会の華であるランチ用のテーブル。午前の反省会をし、逆転優勝を狙うための作戦会議に使える。,
10305,大運動会のトロフィー陳列台,,栄光あるトロフィーが並んだ大運動会のトロフィー陳列台。大運動会に参加する生徒たちの目標であり夢が詰まっている。,
10306,大運動会の入場ゲート,,華やかな大運動会の開幕を知らせる入場ゲート。入った瞬間から熱気が感じられる。,
