schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
5101,ハロウィーンのパンプキン収納セット,,キャンディ付きのハロウィーンなパンプキン収納セット。今なら甘ーいキャンディーがたくさんついてくる！,
5102,ハロウィーンのクモの糸柄カーペット,,クモの巣の形でデザインされたカーペット。その個性的なデザインはどんな空間でも際立って良い感じ。,
5103,ゴースト柄のシングルチェア,,ゴースト柄がポイントのシングルチェア。すっきりとしたシルエットと可愛らしさが上手く同居している。,
5104,パンプキンスープ風のスツール,,まるでかぼちゃスープのようなデザインのスツール。意外とすっきりした色合いで、どんな空間にでもマッチする。,
5105,ハロウィーンのゴースト立て看板,,ハロウィーンカフェへと案内するための立て看板。甘ーいスイーツがいっぱいの空間へようこそ！,
5106,ハロウィーンのパーテーション,,溢れるシロップのようなデザインのパーテーション。プライベートな空間を生み出すのにぴったり。,
5107,ハロウィーンのパンプキン棚,,色んなハロウィーンの小物で飾られた2段セットの棚。恐ろしい、でも可愛い！,
5108,ハロウィーンのパンプキンダブルソファー,,パンプキンのぬいぐるみがセットになったダブルソファー。じっと見てると、何だかちょっと不気味かも？,
5109,ハロウィーンのシロップ柄テーブル,,溢れるシロップのようなデザインのテーブル。シロップの不規則な感じが個性的。,
5110,ハロウィーンのネオン電光板,,クモの巣の形でデザインされたハロウィーンの電光板。どこか不気味な雰囲気を演出してくれる。,
5111,ろうそくの壁飾り,,ほのかに空間を照らすろうそく。壁に設置すると、どこかクラシックな雰囲気が演出できる。,
5112,ハロウィーンのホラーな壁掛けセット,,どこか怪しいハロウィーンチックな壁飾り。今、猫と目が合ったような……？,
5113,ハロウィーンの三段パンプキン,,パンプキンが三段に積まれた可愛らしい装飾。表情もそれぞれ違くて愛らしい。,
5201,ハロウィーンのパンプキン暖炉,,ハロウィーンの小物で飾り付けられた暖炉。燃え上る炎をじっと見ていると……？,
5202,ハロウィーンのダイヤパターンの床,,ダイヤ模様のパターンの床。ハロウィーンの雰囲気を演出するのに最適。,
5203,ハロウィーンのパンプキンデザートテーブル,,かぼちゃのデザートでいっぱいのテーブル。見た目は怖いけど、甘くてすっごく美味しい！,
5204,クモの巣柄のアーチ型窓,,クモの巣模様がポイントのアーチ型の窓。夜遅い時間に、窓の向こうを覗いてみると……。,
5205,ハロウィーンのパンプキンバーカウンター,,ハロウィーンのスイーツが並べられているカウンターバー。この季節ならではのスイーツが美味しそう。,
5301,ハロウィーンの撮影セット,,不気味なハロウィーンらしい写真が取れるセット。仮装をして撮影すれば、さらにハロウィーン感がアップしそう。,
5302,ハロウィーンゴーストのぬいぐるみ,,ハロウィーンカフェのマスコットであるゴーストのぬいぐるみ。風船と飴を配ってくれる実は優しい子！,
5303,ハッピーハロウィーンの壁飾り,,ハロウィーンデザインの大きな壁飾り。これを飾ればすぐに、楽しいハロウィーンパーティーの始まり！,
5304,ハロウィーンのシロップ柄の壁,,溢れるシロップのようなデザインの壁。何とも言えないウェーブ具合が、ハロウィーンの夜を盛り上げてくれる。,
5305,ハロウィーンナイトの背景,,神秘的なハロウィーンの雰囲気を演出してくれる背景。ハロウィーンナイトは終わらない！,
