schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
8100,ミリタリー弾薬箱,,各種弾薬や武器が収納された箱。高い気密性を誇り、どんな訓練にも耐えられる。,
8101,正方形のナチュラルカーペット,,ナチュラルな紋様が彫られた正方形のカーペット。柔らかくて心地よい質感で製作されている。,
8102,長方形のナチュラルカーペット,,ナチュラルな紋様が施された長方形のカーペット。感覚的なデザインで空間にポイントを与えることができる。,
8103,ミリタリーチェア・グリーン,,緑をあしらったミリタリーチェア。耐久性が高く、長時間の野外で使用しても問題ない。,
8104,ミリタリーチェア・イエロー,,黄色をあしらったミリタリーチェア。高強度なアルミ製で、見た目の印象よりもずっと軽い。,
8105,ミリタリーチェア・ピンク,,ピンクをあしらったミリタリーチェア。簡単に折りたためるので移動や保管に便利。,
8106,ミリタリーチェア・ブルー,,青をあしらったミリタリーチェア。汚れに強い生地のためどこで使っても安心。,
8107,ミリタリーパーテーション,,野外でも展開できるパーテーション。どんな場所でもプライバシーは大事である。,
8108,ミリタリー簡易テーブル,,野外でも使える折りたたみ式のテーブル。食事から銃の手入れまで多用途。,
8200,ミリタリーブランチセット,,その辺の箱の上に置かれたありあわせのサンドイッチセット。行軍訓練における癒しの時間。,
8201,折り畳み式のナチュラルチェア,,コンパクトサイズの折りたたみナチュラルな文様のチェア。のっぺりとした空間にポイントを与えることができる。,
8202,ミリタリー非常食ケース,,長期保存できる食料を詰めた箱。野外の活動では必須。,
8203,ミリタリー2段野戦ベッド,,汚れに強い生地で作られた2段ベッド。寝心地は悪いがベッドがあるだけで十分。,
8204,ミリタリー木製デッキ,,木製のデッキの床。草むらに設置されたデッキの上で安定したキャンプが行える。,
8205,ミリタリータープの壁,,大型タープの内壁。防寒生地で製作されたタープは銃弾以外の多くのものから身を守ってくれる。,
8206,ミリタリー背景,,森を表現した緑の木の模様の背景。鬱蒼とした森が身をひそめる場所を提供してくれる。,
8300,ミリタリーグリルセット,,料理が満載のグリルセット。野外で食べれば一層気分を盛り立ててくれる。,
8301,ミリタリータープの入り口,,大型タープの入り口。タープの内部から鬱蒼とした森の風景を鑑賞することができる。,
8302,ミリタリー組み立て式キッチン,,組み立て式のキッチンカウンター。野外で手に入るものは大体調理できる設備がある。,
8303,ミリタリー木製ガンスタンド,,木製のガンスタンド。汗や泥を吸っても目立たない。,
