schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
7,総力戦コイン,,総力戦ショップで利用可能なコイン。,
8,戦術コイン,,戦術対抗戦ショップで利用可能なコイン。,
9,総力戦レアコイン,,総力戦ショップで利用可能なレアコイン。,
23,神名のカケラ,,神名文字を構成するカケラ。,
60,火力演習コイン,,合同火力演習ショップで利用可能なコイン。,
61,指名手配コイン,,指名手配ショップで利用可能なコイン。,
7001,ミッションデータ1：TypeD ,,デカグラマトンの分析に役立つデータが入っている,
80000,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80001,キツネせんべい,,お祭り時の百鬼夜行の商店街における、代表的な名物の一つ。サクサクした食感と香ばしさは正に絶品。,
80002,タヌキ印のお好み焼き,,百鬼夜行のお祭りには欠かせない食べ物。マヨネーズで描かれたタヌキ印がたまらなく可愛らしい一品。,
80003,サクラ大福,,百鬼夜行の伝統的な喫茶店「百夜堂」の定番スイーツ。まろやかで濃厚、それでいて控えめな甘さは「最高」の一言に尽きる。,
80010,チェリノマトリョーシカ,,チェリノの姿を模した、威厳のあるマトリョーシカ。振ってみると分かるが、意外と中身はたくさん詰まっている。,
80011,チェリノ印のチョコレート,,レッドウィンターで生産されている有名なチョコレート。甘くて滑らかな食感なのだが、当のレッドウィンターの生徒たちは寒い気候のせいで、硬くて食べにくいチョコだと思っている。,
80012,おひげクレープ,,レッドウィンターの各所で売られている甘くて美味しいクレープ。学園では「ブリヌイ」とも呼ばれる。おひげ型のクリームをデコるには、チェリノの審査が必要だとかそうでないとか。,
80013,勇猛髭勲章,,チェリノに認められた生徒だけが貰うことができる、金が贅沢に使われた特別な勲章。尖っている部分が多く、角に当たると結構痛いため、だいたい机の底にしまわれてしまう。,
80020,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80021,ビーチボール,,可愛いハートマークが付いたビーチバレー用のボールです。,
80022,海の家の食券,,海の家で使うことができる、濡れて文字が読めなくなることが多い食券です。,
80023,ミニロケット花火,,可愛らしいサイズのロケット花火です。,
80030,ゲヘナ印の補給ボックス,,夏のトレーニング合宿のために、風紀委員会が用意した補給ボックス。中にはトレーニングに役立つ様々な物が入っている。ハズレは無いのでご安心を。,
80031,美食研究会の焼きトウモロコシ,,美食研究会が作った焼きトウモロコシ。物としては一緒ですが、ランダムで美食研究会のメンバーたち好みの味に仕上がっています！……つまり、味の保証はできません。,
80032,夏のスケバンサングラス,,夏の海で騒ぎを起こす水着のスケバン集団「破茶滅茶」から、風紀委員会が穏便に押収したサングラス。少し傷が付いてますが、決して抵抗の跡ではないとのこと。,
80033,びしょびしょヘルメット,,夏のスラム街を騒がせる「びしょびしょヘルメット団」から、風紀委員会が穏便に押収したヘルメット。少し傷が付いてますが、至って平和的に押収したとのこと。確かにやや濡れています。,
80040,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80041,コウラ茸,,"山海経自治区のほぼ全域に自生している、甲羅のような華やかな模様のキノコ。
食感も味も良く、食用として人気が高い。",
80042,クロ筍,,"玄龍門の庭に育てられている黒色の筍。
玄龍門の幹部たちによって厳重に管理されているため、なかなか見かけることができない。",
80043,ヒトガタ人蔘,,"山海経の山奥で見つかる人蔘。
寿命を延ばす効果や、若返りの効果などがあると言われている。",
80050,チョコレートコイン,,ゴールデンフリース号内に出回っている代表的なお菓子の一つ。あくまでもお菓子で本物のコインではないが、普通に美味しいため生徒たちの間で人気が高い。,
80051,ウサギのステッカー,,生徒たちがあちこちに貼っているウサギ模様のステッカー。色んな生徒たちが自由に作っては、色んな所に自由に貼っている。,
80052,乗船チケット,,ゴールデンフリース号の乗船チケット。乗船後もイベントの時などに確認されることがあるため、肌身離さず持っていることが推奨される。,
80053,サイコロ,,ゴールデンフリース号の中でよく見かけるサイコロ。時々生徒間のトラブルを解決するのに使われることもあるらしい。,
80060,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80061,温泉タオル,,227号温泉郷で提供しているタオル。素材はあまり良くないため、身体に当てる際に強くこすり過ぎないようご注意を。,
80062,おひげシャンプー,,チェリノが愛用している、レッドウィンター連邦学園の特製シャンプー。名前に「ひげ」と付いているものの、お髭を洗うのには適していないらしい。,
80063,カピバラ型の入浴剤,,カピバラの形をした固形の入浴剤。水中に入れると、ほのかな柑橘系の香りが漂う。,
80070,福袋,,黒亀組が販売しているお正月の福袋。開けてみるまで何が入っているかは分からないものの、意外と中身は充実している。,
80071,ペロロ餅,,お正月ということで、「ペロロ」に目を付けた黒亀組が販売している鏡餅型の装飾品。あくまで装飾品であり、食べることはできない。,
80072,黒亀組の絵馬,,黒亀組が販売している絵馬。お賽銭を入れた後にこの絵馬に願いごとを書くと、その願いが叶うと言われている。普通に買うと1個あたり5千円。,
80073,おみくじ引換券,,おみくじと交換するための引換券。実は真っ当なおみくじではなく黒亀組が販売しているもので、その結果に応じて別の商品が貰える。,
80080,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80081,問題児の反省文,,バレンタインデーのパトロール業務で補導された問題児が書いた反省文。意外に内容は堅実である。,
80082,押収された違法駄菓子,,バレンタインデーパトロール業務中に押収した駄菓子。正式には許可されていない裏の世界で作られたものだという。問題児好みの悪い味。,
80083,環境美化活動用ゴミ袋,,バレンタインデーのパトロール業務のついでにあちこちで収集したごみが入っている袋。こういった美化活動は何だかんだでとてもやりがいがある。,
80084,バレンタインデーのお誘い,,"バレンタインデーに誰かがあなたを待っているという証。特別な日にはきっと特別な出会いがある。※イベント終了後、未使用のまま保持していた「バレンタインデーのお誘い」は200,000クレジットに変換されます",
80090,ワカモの逮捕状,,ワカモを逮捕するために、ヴァルキューレ警察学校から発布された逮捕状。ワカモがこれまで犯してきた恐ろしい罪状が書き連ねられている。,
80100,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80101,シスターフッドのヴェール,,シスターフッドで使用されているヴェール。上手く使えばお祈り中にうたた寝してもバレないが、おそらくそんな生徒はいない。,
80102,トリニティの聖歌集,,トリニティの聖歌が本の形でまとめられたもの。その内容がかなり浸透しているためもあるが、それ以上に言葉の美しさが評判で、様々な状況で引用されることがある。,
80103,トリニティの燭台,,トリニティの聖堂などで使用される燭台。かなり重くて丈夫な造りになっており、落とすと床に穴が空くレベル。,
80110,ムシクイーンのカードパック,,大人気トレーディングカードゲーム「ムシクイーン」の拡張パック第3弾「アルティメットインセクトの襲来」。カエデ曰く、パックの手触りで中にレアカードが入っているかどうか分かるのだとか。,
80111,交流会のチラシ,,百鬼夜行とゲヘナ学園の間で「交流会」が開かれることを知らせるためのチラシ。主催者であるニヤの挨拶や、主な日程、注意事項などが記載されている。,
80112,和楽姫のうちわ,,百鬼夜行連合学院の大人気アイドルであるチセ様のご尊顔が描かれたうちわ。ファンの間では高値が付くほどの大人気グッズの一つ。,
80113,ニンペロさんグッズ,,渦巻映画村で販売されている忍者のキャラクターグッズ。最初は某キャラクターのスピンオフとして始まったものだったが、途中から人気を博した結果、一つのシリーズものとして独立した。この業界ではそれなりによくある話。,
80120,資材ボックス,,"捨てられたリゾートのあちこちに廃棄された資材ボックス。
長く放置されていたようで、中に何が入っているのかは分からない。",
80130,地域通貨,,観光を復活させる目的で作られた「ロスト・パラダイス・リゾート」の地域通貨。本当に効果があるのか​​は分からないが、それでもシズコ曰く「そんなのは直接証明すればいいんです！」という。,
80131,百夜堂キラキラコイン,,百夜堂の海の家でお土産に交換可能なコイン。ただ、お客さんのほとんどはコイン自体をお土産として考えているようだ。,
80132,ツルツルサザエ,,表地が滑らかでツルツルしたサザエ。チセが言うには耳に近づけて音を聞いていると、自然に俳句が浮かぶという。,
80133,夏用忍法図鑑巻物,,夏に合わせて使える様々な忍法（創作）が書かれている巻物。主に夏に起こり得る事故に関する内容が多い。忍者にも安全が一番！,
80134,深海温泉島リゾート使用権,,深海温泉島リゾートの使用権が明示されているリゾート使用許諾契約書,
80135,ムシクイーンクルーズリゾート使用権,,ムシクイーンクルーズリゾートの使用権が明示されているリゾート使用許諾契約書,
80136,超豪華リゾート使用権,,超豪華リゾートの使用権が明示されているリゾート使用許諾契約書,
80140,スイーツクーポン,,有名なスイーツショップで発行されるクーポン。集めて持っていくと交換できるデザートが決まっている。,
80141,ミントチョコパフェ,,独特の味がするミントチョコパフェ。爽やかさと甘みを同時に味わえるメニュー。,
80142,マカロン,,片手にすっぽり収まるサイズのマカロン。様々な色と味が存在する。,
80143,ロールウエハース,,くるりと巻かれているチョコ味のお菓子。格好つけたい子供たちが口に咥えたまま揺らしたりもする。,
80150,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
80151,お手玉,,柔らかい布に豆や砂などを入れて包んだお手玉。ふわふわしているため当たっても怪我をする心配がなく、玉入れなどの試合で使われる。まれに本当に爆発するお手玉が発見されることもある。,
80152,ミレニアムの旗,,ミレニアムの校章が描かれている小さな旗。戻り点を表示したり集合場所を知らせるときに使用される。,
80153,ホイッスル,,エンジニア部の先端技術で作られた特製ホイッスル。吹くと電子信号を発生させ、音を出すスピーカーが作動する複雑な構造になっている。,
80160,スポーツドリンク,,ミレニアムが開発した特製スポーツドリンク。トレーニング部のデータに基づいて開発されているため、他のドリンクより早く水分補給ができるらしい。,
80161,リレー用バトン,,リレーに使用されるバトン。旧式の柄付き手榴弾のような形だが、電子式雷管を挿入した製品で、一定時間内に次のランナーに引き継げれば絶対に爆発しない。,
80162,あんぱん,,パン食い競争に使われる、ビニールに包まれたあんぱん。小豆だけが入ったシンプルな構成のパンだが、一部のヴァルキューレ警察学校の生徒たちから大好評を受けたという。,
80163,案内パンフレット,,晄輪大祭実行委員会本部から配っている案内パンフレット。試合日程はもちろんの事、競技場近くのグルメマップまで詳細に記載されている。,
80170,クリスマスプレゼント,,クリスマスに誰もが待っているもの。悪い子はもらえない。,
80171,クリスマスソックス,,プレゼントを楽しみにして掛けておくソックス。履けばしっかり暖かい。,
80172,キャンディケイン,,杖の形で作られたクリスマスキャンディ。通常はミント味。,
80173,エッグノッグ,,牛乳と卵、砂糖で作る温かい飲み物。寒い日に飲むと体が温まる。,
80180,イベントPt,,イベントで入手できるポイント。たくさん手に入れることで、様々な報酬を獲得することができる。,
