schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
80024,クーラーボックス,,冷たいドリンクやフルーツ、氷などがたくさん入ったクーラーボックス。炎天下で持ち歩くと銃火器はすぐに熱くなってしまうので、それらを入れておく用途にもピッタリです。,
80025,砂遊びセット,,シャベルやバケツなど、砂のお城を作ったり砂遊びに必要な道具が一通り入ったセットです。セメントと鉄筋は入っていません。,
80026,ビーチチェア,,木の骨組みに布を張った、よくあるタイプのビーチチェアです。もちろん防水加工もバッチリ。,
80027,パラソルテーブル,,陽射しを防ぐためのパラソルが付いた、南国風のガーデンテーブルです。お嬢様は海辺でもティータイムを欠かしません。,
80028,ビーチグッズ,,浮き輪やビーチボール、シュノーケルなど、ビーチでの遊びに必要なグッズがたくさん入った本格的なセット。水深50ｍ以下での使用には適していないのでご注意。,
80029,セーリングボート,,風の流れを利用して海面を滑走する乗り物。初心者にも優しく、バランスが取りやすい設計になっています。,
180000,スイートチョコポテトチップス,,片面にチョコレートがコーティングされたポテトチップス。サクサクとした食感にチョコレートの甘さが加わったが、モモカの好みではなさそうだ。,
180001,エンジェルチョコレート,,「エンジェル24」プライベートブランドのチョコレート。ソラがミスで大量発注した、その最後の一つ。,
180002,お徳用チョコレートパック,,連邦生徒会に置かれているお徳用のミニチョコレート。リンも仕事中にたまに食べるらしい。,
180003,アロナのチョコジンジャークッキー,,アロナが一生懸命作ったチョコジンジャークッキー。先生とアロナの姿が可愛らしく再現されている。,
180004,バレンタインペロロ,,バレンタインデーを記念して発売されたペロロ形のチョコレート。マニアの間でも話題になったその限定商品を、当然ヒフミは見逃さなかった。,
180005,レーションD型,,オーツ麦とココアパウダーを混ぜた軍用チョコレート。正義のためならばその圧倒的なカロリーもマシロは恐れない。,
180006,ハッピーホットチョコレート,,ハナエが作ってくれた、温かいホットチョコレート。一口飲むと疲れが取れると同時に、幸せな気分が溢れてくる。,
180007,ショコラ・デ・ゲヘナ,,高カロリー・高カフェインのゲヘナ製ダークチョコレート。実はイオリも靴墨と取り違えたことがある。,
180008,大量の板チョコレート,,アカリがチョコレート大食い大会に備えるために買ってきた大量の板チョコレート。普通の人は見ただけで満腹になりそう。,
180009,チョコ団子,,和菓子屋で売られていたチョコレート味のお団子。意外な取り合わせだが、ジュンコの舌にかなう美味しさ。,
180010,デス·ラブ,,カヨコの好きな音楽グループ、ブラック·デス·ポイズンのバレンタイン限定シングルを購入するとおまけでもらえるギフト。この見た目だが、味は柔らかくて甘い。,
180011,ライダーの間食,,シロコがライディング用に常備しているエナジーバー。ナッツが練りこまれており、一口かじればすぐに元気が体の隅々までいきわたる。,
180012,海のお友達,,海洋博物館で売られているチョコレートセットの中のクジラ。クジラの巨大さをホシノは気に入っているが、このクジラは手のひらサイズ。,
180013,砂漠のバラ,,アビドスの駅前で売られているバラ模様のチョコレート。砂漠のバラをモチーフにしたチョコレートで、贈り物として人気が高い。,
180014,ヴィーナスのチョコレート,,学生向けとは思えない大胆な形のチョコレート。学生で買うのはエイミくらいかもしれない。,
180015,盗聴装置14号,,コタマが作った盗聴器が乗ったチョコレート。隠す気配は全く無いようだ。,
180016,缶のホットココア,,主に自動販売機で販売されているチョコレートドリンクの缶。この甘さが深夜のチヒロを何度も癒してきた。,
180017,パヴェ・チョコレート（領収書付き）,,ユウカが先生のために購入した贈答用チョコレートセット。5000円の領収書が貼られているのだから、5000円のチョコで間違いない。,
180018,勇者のチョコレート（アイテム）,,ユズがゲーム内でプレゼントしてくれた期間限定のアイテム。使用するとキャラクターの体力とプレイヤーの心を回復してくれる。,
180019,手作りチョコスネイル,,アリスがゲーム内のモンスター「スネイル」をモチーフにして手作りしたチョコ。遠めに見ればスネイルに見えないこともない。,
180020,妖怪MAXチョコレート味,,バレンタインシーズンを記念して発売されたチョコ味の妖怪MAX。意識が覚醒することはともかく、普通の妖怪MAXより美味しいかどうかを決めるにはハレとの議論が必要。,
180021,チョコ味のスプレー,,インクの代わりにチョコレートを噴射するスプレー。マキによると、世の中を甘くするのに使えるらしい。,
180022,チョコレート砲弾Mk.2,,ヒビキがバレンタインデーイベントの行事用に開発したチョコレート砲弾。威力が高すぎてイベントでは使用できなかった。,
180023,チョコレートネジ,,銀紙で包装されたネジ型チョコレート。ウタハですら一目で見抜けないほど完璧な造形だが、工具としては使用できない。,
180024,チェリョンカ,,レッドウィンターの給食部で生産している、レッドウィンター連邦学園特製のミルクチョコレート。チェリノがすでに一口味わったもの。,
180025,改良型チェリョンカ,,トモエ描き下ろしの可愛いイラストが入った、改良型チェリョンカ。味は従来のチェリョンカとほとんど変わらない。,
180026,カカオの実,,先生にチョコレートをプレゼントしたかったノドカがやっと手に入れたカカオの実。甘くはないが、加工してお茶のように沸かして飲むと良い風味が出る。,
180027,不老不死の霊薬(失敗作),,サヤがチョコレートをベースに作った新しい霊薬。味も効果も従来のチョコと変わらないので、ただのチョコと言って良いのかもしれない。,
180028,大人のラムボンボン,,ラム入りの濃厚な香りのボンボンチョコレート。学生が食べるには少し早い味。もちろんシュンにとっても。,
180029,チョコレート手錠,,手錠の形をしたチョコレート。実際に手錠として使おうとしたキリノの発想は、メーカーとしても予想外だった。,
180030,特製チョコクルーラー,,マスタードーナッツにてバレンタインシーズン限定で発売される、スプリンクルがかかった特製のチョコクルーラー。フブキにとってバレンタインとはこれを食べられる日という意味。,
180031,チョコ埴輪,,ハナコが用意した埴輪形のチョコレート。どこから見ても視線が合う気がする。,
180032,リトル·ブレット,,ハスミがくれた狙撃小銃の弾丸型のチョコレート。小さいが、その甘さは胸を打ち抜く。,
180033,ヒナの手作りチョコレート,,ヒナの手作りチョコレート。見た目は整っていないが、ふり絞られた勇気は何よりも美しい。,
180034,あなたのための一口の休息,,アコが厳選した材料を使用した自家製チョコレート。一見して手作りとはわからない完璧な出来栄えで、仕事中でも食べやすいその味とサイズは、アコの有能さや気遣いの表れでもある。,
180035,すごく！おいしい！！チョコレート！！！,,イズミが思う最高の材料をたくさん使って作った、イズミの手作りチョコレート。しょっぱくて香ばしい味がポイント。,
180036,社長の最高級チョコレート,,アルが日頃の協力への感謝としてくれたチョコレート。大事なのは買った値段ではなく、誰がどんな気持ちでくれたかである。,
180037,地獄のロシアンルーレット,,当たってしまえば地獄を見るかもしれない、いたずら用のロシアンルーレットチョコレート。ムツキのブックマークにはこうした商品が大量に保存されている。,
180038,ココアが入ったマグカップ,,フウカが先生のために入れてくれたココア。先生の健康を気遣う心のおかげか、実際の味以上に甘く温かい。,
180039,ジュリの手作りチョコレート,,ジュリが全力を尽くした手作りチョコレート。食べたはずなのだが味は分からない。分からなくていいのかもしれない。その真心だけは伝わったのだから。,
180040,共にする時間,,セリカがバイト先でもらった最高級チョコレートケーキ。労働の苦労と喜びが、何よりも味を引き立ててくれる。,
180041,おやつ担当のお仕事,,アビドスのおやつ担当であるノノミが用意したチョコレートセット。先生や個性的な対策委員会メンバーのだれもが楽しめるよう、あらゆる種類のチョコが詰まっている。,
180042,選りすぐりの一品,,スミレが実際に試食し、100種類以上の中から選び抜いた最高の栄養食品。これだけで一日動けるほどの大量のカロリーを素早く摂れるが、当然その後は相応の運動が必要になる。,
180043,カシオペアの拳～ウーパールーパー大列伝～,,モモイがクレーンゲーム機で獲得した食玩チョコレート。人気格闘ゲーム『カシオペアの拳~ウーパールーパー大列伝~』のマスコットキャラクターのおもちゃが同梱されている。全7種類。,
180044,ミドリの手作りチョコレート,,たくさんの練習。手探りの試行錯誤。失敗と再挑戦、そして早起き。彼女がゲームと絵以外のことでこういった努力をするのは、初めてのことかもしれない。,
180045,四字熟語チョコ煎餅,,様々な四字熟語が盛り込まれているチョコレート菓子。まじめな四字熟語の中に時折変な言葉が混じっているあたりが、チセのお気に入りのようだ。,
180046,百夜堂の限定スイーツ,,百夜堂でバレンタインにのみ販売される特別なスイーツ。告知もされず、メニューにも載っておらず、誰に売るものなのかをシズコは教えてくれない。,
180047,特製忍者グッズ49番「チョコレートセット」,,各種忍者道具がいっぱい入った夢の忍者チョコレートセット。主殿と味わいたいがために、イズナが朝早くから並んで手に入れた一品。実際に使用することはできないので要注意。,
180048,安眠チョコレートと安眠グッズセット,,"いつも過労気味の先生のためにツバキが用意してくれた安眠グッズ一式。より眠りやすい枕が欲しくなった時にはツバキを呼ぼう。普通に買うと合計3,980円。",
180049,ワカモの愛がこもったチョコレート,,ワカモが溢れる熱い思いをいっぱい込めて作ったチョコレート。ただし込められているのが本当に愛情だけなのかは定かでない。,
180050,美食の証明（抹茶味）,,ハルナが美食の研究の一環で作った抹茶チョコレート。噛みしめると、深い苦みの中から甘さが滲み出てくる。,
180051,バレンタインの聖者スカルマン,,アズサが用意した『死の死神スカルマン』のチョコレートバージョン。食べてしまえば骨も残らないが、込められた思いはきっと残る。,
180052,ラブリー·クロスライン,,コハルが持ってきた有名なチョコレート。ホワイトチョコとダークチョコが混ざっており、黒の十字模様がとても魅力的。,
180053,トゥインクルスター,,スズミがコンビニで買ってくれた星型のチョコレート。包みを開くと金箔がかけられており、キラキラと静かに輝きを放つ。,
180054,ホーリー・チョコレート,,マリーがプレゼントしてくれたチョコレート。シスターフッドのお土産として人気で、最初から食用ではなく展示用だったのかもしれない。,
