schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
10,初級レポート,,生徒たちの部活動を記録したレポート。あらゆる生徒たちの経験が詰まっている。,
11,中級レポート,,生徒たちの部活動を記録したレポート。あらゆる生徒たちの経験が詰まっている。,
12,上級レポート,,生徒たちの部活動を記録したレポート。あらゆる生徒たちの経験が詰まっている。,
13,最上級レポート,,生徒たちの部活動を記録したレポート。あらゆる生徒たちの経験が詰まっている。,
30000,初級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30001,中級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30002,上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30003,最上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30010,初級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30011,中級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30012,上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30013,最上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30014,初級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30015,中級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30016,上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30017,最上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30018,初級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30019,中級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30020,上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
30021,最上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
40000,初級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40001,中級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40002,上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40003,最上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40010,初級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40011,中級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40012,上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40013,最上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40014,初級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40015,中級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40016,上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40017,最上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40018,初級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40019,中級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40020,上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
40021,最上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
100000,贈り物ボックス,,生徒に渡すことのできる贈り物が入っているボックス。,
100001,家具ボックス（☆3）,,☆3のカフェの家具が入っているボックス。,
100008,贈り物選択ボックス,,お好みの贈り物が選べる贈り物ボックス,
100009,高級贈り物ボックス,,使用時、高級贈り物の中から、一つを同じ確率で獲得することができる贈り物ボックス,
100013,装備ボックス,,様々な種類の装備や設計図が入っているボックス。,
100014,装備ボックス,,様々な種類の装備や設計図が入っているボックス。,
100015,初級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
100016,中級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
100017,上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
100018,最上級戦術教育BDボックス,,EXスキルを強化してくれる戦術教育BDが入っている箱。,
100019,初級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
100020,中級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
100021,上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
100022,最上級技術ノートボックス,,スキルを強化してくれる技術ノートが入っている箱。,
100023,オーパーツ（1）抽選ボックス,,使用時、10種類のオーパーツ（1）の中から、1つを獲得できるボックス。,
100024,オーパーツ（2）抽選ボックス,,使用時、10種類のオーパーツ（1）の中から、1つを獲得できるボックス。,
100025,オーパーツ（3）抽選ボックス,,使用時、10種類のオーパーツ（1）の中から、1つを獲得できるボックス。,
100026,オーパーツ（4）抽選ボックス,,使用時、10種類のオーパーツ（1）の中から、1つを獲得できるボックス。,
150000,初級技術ノート選択ボックス,,任意の初級技術ノートを選択して交換することができる選択ボックス。,
