schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
10000,アルの神名文字,,アルの神秘が詰まった神名文字。,
10001,エイミの神名文字,,エイミの神秘が詰まった神名文字。,
10002,ハルナの神名文字,,ハルナの神秘が詰まった神名文字。,
10003,ヒフミの神名文字,,ヒフミの神秘が詰まった神名文字。,
10004,ヒナの神名文字,,ヒナの神秘が詰まった神名文字。,
10005,ホシノの神名文字,,ホシノの神秘が詰まった神名文字。,
10006,イオリの神名文字,,イオリの神秘が詰まった神名文字。,
10007,マキの神名文字,,マキの神秘が詰まった神名文字。,
10008,ネルの神名文字,,ネルの神秘が詰まった神名文字。,
10009,イズミの神名文字,,イズミの神秘が詰まった神名文字。,
10010,シロコの神名文字,,シロコの神秘が詰まった神名文字。,
10011,シュンの神名文字,,シュンの神秘が詰まった神名文字。,
10012,スミレの神名文字,,スミレの神秘が詰まった神名文字。,
10013,ツルギの神名文字,,ツルギの神秘が詰まった神名文字。,
10014,イズナの神名文字,,イズナの神秘が詰まった神名文字。,
10015,アリスの神名文字,,アリスの神秘が詰まった神名文字。,
10016,ミドリの神名文字,,ミドリの神秘が詰まった神名文字。,
10017,チェリノの神名文字,,チェリノの神秘が詰まった神名文字。,
10018,ユズの神名文字,,ユズの神秘が詰まった神名文字。,
10019,アズサの神名文字,,アズサの神秘が詰まった神名文字。,
10020,コハルの神名文字,,コハルの神秘が詰まった神名文字。,
10021,アズサ（水着）の神名文字,,アズサ（水着）の神秘が詰まった神名文字。,
10022,ヒナ（水着）の神名文字,,ヒナ（水着）の神秘が詰まった神名文字。,
10023,イオリ（水着）の神名文字,,イオリ（水着）の神秘が詰まった神名文字。,
10024,シロコ（ライディング）の神名文字,,シロコ（ライディング）の神秘が詰まった神名文字。,
10025,シュン（幼女）の神名文字,,シュン（幼女）の神秘が詰まった神名文字。,
10026,ネル（バニーガール）の神名文字,,ネル（バニーガール）の神秘が詰まった神名文字。,
10027,カリン（バニーガール）の神名文字,,カリン（バニーガール）の神秘が詰まった神名文字。,
10028,アスナ（バニーガール）の神名文字,,アスナ（バニーガール）の神秘が詰まった神名文字。,
10029,ナツの神名文字,,ナツの神秘が詰まった神名文字。,
10030,チナツ（温泉）の神名文字,,チナツ（温泉）の神秘が詰まった神名文字。,
10031,アル（正月）の神名文字,,アル（正月）の神秘が詰まった神名文字。,
10032,ムツキ（正月）の神名文字,,ムツキ（正月）の神秘が詰まった神名文字。,
10033,ワカモの神名文字,,ワカモの神秘が詰まった神名文字。,
10034,ミモリの神名文字,,ミモリの神秘が詰まった神名文字。,
10035,ウイの神名文字,,ウイの神秘が詰まった神名文字。,
10036,ヒナタの神名文字,,ヒナタの神秘が詰まった神名文字。,
10037,マリナの神名文字,,マリナの神秘が詰まった神名文字。,
10038,ミヤコの神名文字,,ミヤコの神秘が詰まった神名文字。,
10039,ミユの神名文字,,ミユの神秘が詰まった神名文字。,
10040,ツクヨの神名文字,,ツクヨの神秘が詰まった神名文字。,
10041,ミサキの神名文字,,ミサキの神秘が詰まった神名文字。,
10042,アツコの神名文字,,アツコの神秘が詰まった神名文字。,
10043,ワカモ（水着）の神名文字,,ワカモ（水着）の神秘が詰まった神名文字。,
10044,ノノミ（水着）の神名文字,,ノノミ（水着）の神秘が詰まった神名文字。,
10045,ホシノ（水着）の神名文字,,ホシノ（水着）の神秘が詰まった神名文字。,
10046,イズナ（水着）の神名文字,,イズナ（水着）の神秘が詰まった神名文字。,
10047,チセ（水着）の神名文字,,チセ（水着）の神秘が詰まった神名文字。,
10048,サオリの神名文字,,サオリの神秘が詰まった神名文字。,
10049,カズサの神名文字,,カズサの神秘が詰まった神名文字。,
10050,ココナの神名文字,,ココナの神秘が詰まった神名文字。,
10051,ウタハ（応援団）の神名文字,,ウタハ（応援団）の神秘が詰まった神名文字。,
10052,ノアの神名文字,,ノアの神秘が詰まった神名文字。,
10053,ユウカ（体操服）の神名文字,,ユウカ（体操服）の神秘が詰まった神名文字。,
10054,マリー（体操服）の神名文字,,マリー（体操服）の神秘が詰まった神名文字。,
10055,シグレの神名文字,,シグレの神秘が詰まった神名文字。,
10056,セリナ（クリスマス）の神名文字,,セリナ（クリスマス）の神秘が詰まった神名文字。,
10057,ハルナ（正月）の神名文字,,ハルナ（正月）の神秘が詰まった神名文字。,
10058,ミネの神名文字,,ミネの神秘が詰まった神名文字。,
10059,ミカの神名文字,,ミカの神秘が詰まった神名文字。,
10060,メグの神名文字,,メグの神秘が詰まった神名文字。,
