schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
5000,ウェーブキャットの枕,,"話題のモモフレンズコラボ商品、第7弾！
今年の寝具ランキングの第三位にランクインした、ウェーブキャット型の枕。",
5001,ペロロの腹筋ローラー,,"話題のモモフレンズコラボ商品、第9弾！
今年のトレーニンググッズランキングの第一位に輝いた、ペロロデザインの腹筋ローラー！？",
5002,エーポッドプロ,,最近キヴォトスの生徒たちの間で人気のワイヤレスイヤホン。お小遣いで買うにはかなり高い。平均的な計算だとバイト代約3ヶ月分。,
5003,"禁断の愛
〜許されないからこそ美しく〜",,"大人気の恋愛小説作家「恋よ鯉」先生の最新作！
結ばれることは許されない、禁断の愛を扱った問題作！",
5004,"ゲームマガジン
「ヒットガールズ」",,何から何までここにあり。キヴォトスの最新ゲームニュースからレトロゲームの攻略記事、ゲームグッズの発売情報まで、ゲームのことなら何でもござれのゲームマガジン。,
5005,チェリーローズカラーのグロス,,"可愛らしさと鮮やかさが調和したリップグロス。
おしゃれ好きな女性たちの間で大人気の旋風を巻き起こしている、今最もホットなアイテム。",
5006,お肌を透明にするBBクリーム,,ラグジュアリーな化粧品メーカー「サミュエラ」から発売された大ヒット商品。肌が透明になるほど明るく補正するBBクリーム。自然と肌に密着し、健康的な肌色（？）を演出します。,
5007,ミリタリー用カモフラージュクリーム3種セット,,ラグジュアリーな化粧品メーカー「サミュエラ」から発売された大ヒット商品。肌に染み込む心地よさ！必要な時にどこでも迷彩メイクが可能！どこでも自分だけの迷彩メイクを！,
5008,高級なクッキーセット,,優しい甘さが絶品の、シュレーディンガーの高級なクッキーセット。クッキーの代わりに他のものが入っている確率もそれなりにある。開けてみないと事象は確定しない。,
5009,『銃 可愛い 青春』,,"銃と可愛さ、そして青春。
キヴォトスの大衆文化、その根源への原点回帰を果たす今年度のベストセラー。",
5010,天体望遠鏡,,キヴォトス天文協会で、標準的な機器として採択されている天体望遠鏡。,
5011,ゲームガールカラー復刻版,,"『今一度、色気のある生活を』
かつて一世を風靡したあのゲーム機、「ゲームガールカラー」の復刻版です！",
5012,MX-レーションC型デザート風味,,カロリーこそ戦闘力！,
5013,抹茶味の瓶ラムネ,,"独特な風味がたまらない、抹茶味の炭酸飲料。
爽やかなような、しっとりとしたような。",
5014,ゼリーズの枕,,"あの「フルゼリー」シリーズの主人公がついにグッズ化！
あの同じ色のゼリーが集まった時の挙動も忠実に再現！",
5015,"跳躍探偵ウサギ
〜霧に包まれた温泉での滑落〜",,"そのピンと立った純白の耳は、事件の音を逃さない！跳躍探偵ウサギシリーズ、第3弾！
今度の舞台は温泉だ！",
5016,O-フィット,,"「ゲームで楽しく運動しよう！」
O-リングを活用して、手軽に家で運動が楽しめるゲーム。
筋力運動、ダイエット、どちらもお任せ！",
5017,埋蔵金の地図,,"探せ！この世の全てがそこにある！
キヴォトスの三大埋蔵金の在り処を示していると言われている地図。割といろんなところで売られてる。",
5018,コスプレ用ぐるぐるメガネ,,"これさえ使えばあなたも天才博士に！
……なれるかもしれないメガネ。
※注意：着用してもIQは上がりません。",
5019,世界で最も無駄な絡繰りボックス,,役には立たない……でも可愛い！役には立たないけど！可愛いから大丈夫！特別な日のプレゼントとしてもおススメなおもちゃtop5に入ると話題に。,
5020,リボンのついた熊のぬいぐるみ,,"平凡だが愛らしさが感じられるクマのぬいぐるみ。
可愛いモノ好きな生徒たちの間では、それなりに有名なメーカーの製品。",
5021,映画の前売りペアチケット,,"「たまたまチケットが余ってたので、一緒に見ませんか？」」
どの映画館でも利用できるペアチケット。相手は恋人でなくても可。",
5022,30色の絵の具セット,,"30色も入っている、プロも御用達の絵の具セット。
この絵の具セットを買って、新しい世界を描こう！",
5023,古典の詩集,,"古風な感じがたまらない古典の詩集。
「いとあはれ」の感覚をあなたに。",
5024,可愛い食器セット,,"可愛いマスコットキャラクターが描かれた食器セット。
毎年キヴォトスの食器類販売ランキング10位圏内に入っている歴戦の猛者。",
5025,頭脳開発キューブパズル,,"「これが解けたあなたは正にミレニアム！」
ミレニアムサイエンススクール公認の上級者向けキューブパズル。",
5026,大きなホールケーキ,,"見ただけでお腹いっぱいになりかねない大きなホールケーキ。
カロリー表記は一応裏面にありますが……。",
5027,ハイクラスビュッフェ招待券,,"キヴォトス随一のシェフたちが勤務するレストランの高級バイキングを楽しめる招待券。
買おうとすると相当高い。",
5028,食虫植物の植木鉢,,"特殊な趣味嗜好を持った人たちがこぞって買いに来る食虫植物の鉢植え。
昆虫を捕食する姿が意外に可愛いとか可愛くないとか。",
5029,高級そうな欲望のつぼ,,"一目で高級だと分かる金箔の壺。
カードは引けませんのでご注意ください。",
5030,ぜんまい式オルゴール,,"ヴィンテージ感がたまらない高級なぜんまい式オルゴール。
コレクターたちの間では有名な一品。",
5031,刺繍付きのハンカチ,,刺繍の施されたハンカチ。素朴な刺繍が繊細な美しさを漂わせている。,
5032,百科事典,,"食パンの袋の口を結ぶ「アレ」から、お弁当に入っている草みたいな形の「アレ」まで。
あなたが知りたい全てがこの中に。",
5033,ザ・サプリメント,,"一錠飲むだけで力が沸き上がる！
大切な方への贈り物にもピッタリな健康食品。",
5034,夏模様の浮き輪,,"夏だ！海だ！それなら浮き輪だ！
泳ぐのが苦手なら、いや、泳ぐのが得意でもこれはきっと必需品。そもそも安全のためには準備し過ぎるなんてことはないし、何よりもこのファンシーで可愛いデザインが、水着の女の子をさらに可愛く見せてくれるはず！",
5100,レースの枕,,豪華な素材で作られたレースの枕。一見シンプルに見えるデザインだが、文字通りそこには少女たちの夢が込められている。,
5101,ストリートオブヤンキー1巻,,「私たちには義理と度胸しかないっ！」のセリフで有名な話題作、ストリートオブヤンキーシリーズ第1巻。外見とは違って、主人公が意外に可愛いという感想と共にシリーズ好評発売中。,
5102,サミュエラ「ザ・ビヨンド」,,"高級化粧品メーカー「サミュエラ」で発売した最高級香水。
「一度試して、愛らしさをその身につけてみてください」というキャッチフレーズで有名な超超ヒット作で、希代の天才調香師「ザ・ビヨンド」が作ったサミュエラ12傑作の一つである。",
5103,レトロな卵の工芸品,,卵形のボディの上に美しい宝石と幾何学的な柄が細工されている工芸品。もちろん温めてもひよこは​​生まれない。,
5104,ミルフィーユの正統派パフェ,,トリニティの有名菓子店カフェ・ミルフィーユで売っているパフェ。柔らかいアイスクリームの上に積み重なったお菓子とシロップ、生クリーム、そして果物のハーモニーはまさに正統派！,
5105,エイ～ブックレア,,「キヴォトス中の生徒が最も欲しい電子機器TOP3」に入る有名ノートパソコン。かなりの高級品。欲しい！でもやっぱ高い！,
5106,おしゃれなくし,,高級感のあるおしゃれなデザインの携帯用くし。プレゼントとして人気が高い。,
5107,栄養満載の総合ビタミンゼリー,,総合的にビタミンが含まれている栄養ゼリー。様々な果物味のゼリーが入っていて食べる楽しみがある。どんどん食べて、気づいた時には空にならないように注意すべし！,
5108,最高級の楓の盆栽,,見ているだけでも心が落ち着く最高級の楓の盆栽。四季に応じて服を着替えるように変化する変幻自在の葉の姿が、風流な気分を漂わせる。,
5109,裁縫キット,,あらゆる状況に対応するべく必要な道具を選別した上級者向け裁縫キット。これさえあれば服が破れたり、靴下に穴が開いても、問題なし！,
5110,音楽演奏会入場券,,キヴォトスで定期的に開催される演奏会の入場券。クラシックから最近流行りの曲まで。種類を問わない様々な音楽が好きな人に最適なプレゼント。,
5111,1日3回ダンベルセット,,様々な重さのダンベルが複数入っているセット商品。一日三回。朝、昼食、夕方のトレーニングを繰り返して素敵な筋肉を作ろう！,
5112,ボードゲーム「ザ・人生」,,就職したり、宝くじに当選したり、宇宙旅行もできる面白いボードゲーム。毎プレイごとに一歩先も分からないルーレットとサイコロの結果が、まるで人生だという。,
5998,初音ミクのフォトカード,,初音ミクのキヴォトスにおけるライブで配られた、特製のフォトカード。ライブはかなりの大盛況に終り、初音ミクのファンであれば誰もが欲しがるレアなグッズとなった。,
5999,きらめきの花束,,"特別な人に記念でプレゼントする、クリスタルで作られた花束。
光を当てると万華鏡のように輝く。",
