schaleDbID,物品名称（原文）,物品名称,物品介绍（原文）,物品介绍
1,キーストーンのカケラ,,クラフトチェンバーを作動させる時に必要なキーストーンのカケラ。,
2,ブースターチケット,,クラフトチェンバーの制作時間を短くするチケット。,
3,キーストーン,,クラフトチェンバーを起動させる時に必要な起動石。,
30,カフェ設備コアLv1,,カフェのランクアップに必要な材料。,
31,カフェ設備コアLv2,,カフェのランクアップに必要な材料。,
32,カフェ設備コアLv3,,カフェのランクアップに必要な材料。,
80,初級テイラーストーン,,クラフトチェンバーのテイラーメイド機能を起動させる時に必要な起動石。,
81,中級テイラーストーン,,クラフトチェンバーのテイラーメイド機能を起動させる時に必要な起動石。,
82,上級テイラーストーン,,クラフトチェンバーのテイラーメイド機能を起動させる時に必要な起動石。,
83,最上級テイラーストーン,,クラフトチェンバーのテイラーメイド機能を起動させる時に必要な起動石。,
90,初級製造用マテリアル,,製造に使用される主な素材,
91,中級製造用マテリアル,,製造に使用される主な素材,
92,上級製造用マテリアル,,製造に使用される主な素材,
100,ネブラディスクの欠片,,ネブラディスクの壊れた欠片。製造や強化に使用される。,
101,壊れたネブラディスク,,元の形が分からないほど壊れたネブラディスク。製造や強化に使用される。,
102,摩耗したネブラディスク,,古くて至る所が摩耗したネブラディスク。製造や強化に使用される。,
103,完全なネブラディスク,,完全な状態のネブラディスク。製造や強化に使用される。,
110,ファイストス円盤の欠片,,ファイストス円盤の壊れた欠片。製造や強化に使用される。,
111,壊れたファイストス円盤,,元の形が分からないほど壊れたファイストス円盤。製造や強化に使用される。,
112,摩耗したファイストス円盤,,古くて至る所が摩耗したファイストス円盤。製造や強化に使用される。,
113,完全なファイストス円盤,,完全な状態のファイストス円盤。製造や強化に使用される。,
120,ヴォルフスエックの鉄鉱石,,精錬されてないヴォルフスエックの鉄鉱石。製造や強化に使用される。,
121,ヴォルフスエック鋼鉄の欠片,,精錬中に零れ落ちたヴォルフスエック鋼鉄の欠片。製造や強化に使用される。,
122,低純度のヴォルフスエック鋼鉄,,様々な不純物が混ざった低純度のヴォルフスエック鋼鉄。製造や強化に使用される。,
123,高純度のヴォルフスエック鋼鉄,,精錬して純度を上げたヴォルフスエック鋼鉄。製造や強化に使用される。,
130,ニムルドレンズの欠片,,壊れたニムルドレンズの欠片。製造や強化に使用される。,
131,壊れたニムルドレンズ,,至る所にひびが入って欠けているニムルドレンズ。製造や強化に使用される。,
132,摩耗したニムルドレンズ,,欠片を寄せ集めて修復したニムルドレンズ。製造や強化に使用される。,
133,完全なニムルドレンズ,,完全な状態のニムルドレンズ。製造や強化に使用される。,
140,マンドレイクの種,,固く閉じられているマンドレイクの種。製造や強化に使用される。,
141,マンドレイクの芽,,若芽が出ているマンドレイクの芽。製造や強化に使用される。,
142,マンドレイクジュース,,熟成されたマンドレイクを絞って作ったジュース。製造や強化に使用される。,
143,マンドレイク濃縮液,,マンドレイクジュースを濃縮して作ったマンドレイクの濃縮液。製造や強化に使用される。,
150,レヒニッツ写本のページ,,本体から千切られたレヒニッツ写本のページ。製造や強化に使用される。,
151,傷んだレヒニッツ写本,,所々が千切れて落書きで傷んだレヒニッツ写本。製造や強化に使用される。,
152,編集済みのレヒニッツ写本,,傷んだ箇所に注釈を付けて編集したレヒニッツ写本。製造や強化に使用される。,
153,完全なレヒニッツ写本,,完全な状態のレヒニッツ写本。製造や強化に使用される。,
160,エーテルの粉,,エーテルとしては最もデフォルトな形である、空気中から抽出したエーテルの粉。製造や強化に使用される。,
161,エーテルの欠片,,エーテルの粉を圧縮して作った固形のエーテルの欠片。製造や強化に使用される。,
162,エーテルの結晶,,純粋なエーテルのみを集めて結晶の形に精製したエーテルの結晶。製造や強化に使用される。,
163,エーテルのエッセンス,,最も純粋で強力なエーテルだけを集めて作ったエーテルの上澄み。製造や強化に使用される。,
170,アンティキティラ装置の欠片,,アンティキティラ装置の壊れた部品。製造や強化に使用される。,
171,壊れたアンティキティラ装置,,元の形が分からないほど壊れたアンティキティラ装置。製造や強化に使用される。,
172,摩耗したアンティキティラ装置,,壊れて正常に作動しないアンティキティラ装置。製造や強化に使用される。,
173,完全なアンティキティラ装置,,完全な状態のアンティキティラ装置。製造や強化に使用される。,
180,断片的なヴォイニッチ手稿のコピー,,本体から千切られたヴォイニッチ手稿の断片のコピー。製造や強化に使用される。,
181,傷んだヴォイニッチ手稿のコピー,,所々が千切れて、落書きで傷んだヴォイニッチ手稿のコピー。製造や強化に使用される。,
182,編集済みのヴォイニッチ手稿のコピー,,傷んだ箇所に注釈をつけて編集したヴォイニッチ手稿のコピー。製造や強化に使用される。,
183,完全なヴォイニッチ手稿のコピー,,完全な状態のヴォイニッチ手稿のコピー。製造や強化に使用される。,
190,水晶埴輪の破片,,壊れた水晶埴輪の破片。製造や強化に使用される。,
191,壊れた水晶埴輪,,元の形が分からないほど壊れた水晶埴輪。製造や強化に使用される。,
192,修復済みの水晶埴輪,,欠片を寄せ集めて修復した水晶埴輪。製造や強化に使用される。,
193,完全な水晶埴輪,,完全な状態の水晶埴輪。製造や強化に使用される。,
200,トーテムポールの破片,,トーテムポールの破片。製造や強化に使用される。,
201,破損したトーテムポール,,かなりの部分が破損したトーテムポール。製造や強化に使用される。,
202,修復済みのトーテムポール,,幾つかのトーテムポールを寄せ合わせて修理したトーテムポール。製造や強化に使用される。,
203,完全なトーテムポール,,完全な状態のトーテムポール。製造や強化に使用される。,
210,古代の電池の破片,,古代の電池の壊れた部品。製造や強化に使用される。,
211,破損した古代の電池,,かなりの部分が破損した古代の電池。製造や強化に使用される。,
212,摩耗した古代の電池,,今となっては動作していない古代の電池。製造や強化に使用される。,
213,完全なる古代の電池,,完全な状態の古代の電池。製造や強化に使用される。,
230,髪伸び人形の破片,,髪伸び人形の破片の一部。製造や強化に使用される。,
231,破損した髪伸び人形,,かなり傷ついてしまった髪伸び人形。製造や強化に使用される。,
232,修理済みの髪伸び人形,,あちこちを綺麗にしてもらった髪伸び人形。製造や強化に使用される。,
233,完全な髪伸び人形,,完全な状態の髪伸び人形。製造や強化に使用される。,
240,円盤型ペンダントの欠片,,円盤型ペンダントの壊れた欠片。製造や強化に使用される。,
241,壊れた円盤型ペンダント,,元の形が分からないほど壊れた円盤型ペンダント。製造や強化に使用される。,
242,修復途中の円盤型ペンダント,,欠片を寄せ集めて修復している最中の円盤型ペンダント。製造や強化に使用される。,
243,完全な円盤型ペンダント,,完全な状態の円盤型ペンダント。製造や強化に使用される。,
250,古代文明のメダルの欠片,,古代文明のメダルの壊れた欠片。製造や強化に使用される。,
251,破損した古代文明のメダル,,元の形が分からないほど壊れた古代文明のメダル。製造や強化に使用される。,
252,修復途中の古代文明のメダル,,欠片を寄せ集めて修復している最中の古代文明のメダル。製造や強化に使用される。,
253,完全な古代文明のメダル,,完全な状態の古代文明のメダル。製造や強化に使用される。,
290,ミステリーストーンの欠片,,ミステリーストーンの壊れた欠片。製造や強化に使用される。,
291,壊れたミステリーストーン,,元の形が分からないほど壊れたミステリーストーン。製造や強化に使用される。,
292,不完全なミステリーストーン,,修復したものの、正しい形か分からないミステリーストーン。製造や強化に使用される。,
293,完全なミステリーストーン,,完全な状態のミステリーストーン。製造や強化に使用される。,
3000,"初級戦術教育BD
（百鬼夜行）",,百鬼夜行の生徒の戦術活動を映像として記録した教育用BD。,
3001,"中級戦術教育BD
（百鬼夜行）",,百鬼夜行の生徒の戦術活動を映像として記録した教育用BD。,
3002,"上級戦術教育BD
（百鬼夜行）",,百鬼夜行の生徒の戦術活動を映像として記録した教育用BD。,
3003,"最上級戦術教育BD
（百鬼夜行）",,百鬼夜行の生徒の戦術活動を映像として記録した教育用BD。,
3010,"初級戦術教育BD
（レッドウィンター）",,レッドウィンターの生徒の戦術活動を映像として記録した教育用BD。,
3011,"中級戦術教育BD
（レッドウィンター）",,レッドウィンターの生徒の戦術活動を映像として記録した教育用BD。,
3012,"上級戦術教育BD
（レッドウィンター）",,レッドウィンターの生徒の戦術活動を映像として記録した教育用BD。,
3013,"最上級戦術教育BD
（レッドウィンター）",,レッドウィンターの生徒の戦術活動を映像として記録した教育用BD。,
3020,"初級戦術教育BD
（トリニティ）",,トリニティの生徒の戦術活動を映像として記録した教育用BD。,
3021,"中級戦術教育BD
（トリニティ）",,トリニティの生徒の戦術活動を映像として記録した教育用BD。,
3022,"上級戦術教育BD
（トリニティ）",,トリニティの生徒の戦術活動を映像として記録した教育用BD。,
3023,"最上級戦術教育BD
（トリニティ）",,トリニティの生徒の戦術活動を映像として記録した教育用BD。,
3030,"初級戦術教育BD
（ゲヘナ）",,ゲヘナの生徒の戦術活動を映像として記録した教育用BD。,
3031,"中級戦術教育BD
（ゲヘナ）",,ゲヘナの生徒の戦術活動を映像として記録した教育用BD。,
3032,"上級戦術教育BD
（ゲヘナ）",,ゲヘナの生徒の戦術活動を映像として記録した教育用BD。,
3033,"最上級戦術教育BD
（ゲヘナ）",,ゲヘナの生徒の戦術活動を映像として記録した教育用BD。,
3040,"初級戦術教育BD
（アビドス）",,アビドスの生徒の戦術活動を映像として記録した教育用BD。,
3041,"中級戦術教育BD
（アビドス）",,アビドスの生徒の戦術活動を映像として記録した教育用BD。,
3042,"上級戦術教育BD
（アビドス）",,アビドスの生徒の戦術活動を映像として記録した教育用BD。,
3043,"最上級戦術教育BD
（アビドス）",,アビドスの生徒の戦術活動を映像として記録した教育用BD。,
3050,"初級戦術教育BD
（ミレニアム）",,ミレニアムの生徒の戦術活動を映像として記録した教育用BD。,
3051,"中級戦術教育BD
（ミレニアム）",,ミレニアムの生徒の戦術活動を映像として記録した教育用BD。,
3052,"上級戦術教育BD
（ミレニアム）",,ミレニアムの生徒の戦術活動を映像として記録した教育用BD。,
3053,"最上級戦術教育BD
（ミレニアム）",,ミレニアムの生徒の戦術活動を映像として記録した教育用BD。,
3060,"初級戦術教育BD
（アリウス）",,アリウスの生徒の戦術活動を映像として記録した教育用BD。,
3061,"中級戦術教育BD
（アリウス）",,アリウスの生徒の戦術活動を映像として記録した教育用BD。,
3062,"上級戦術教育BD
（アリウス）",,アリウスの生徒の戦術活動を映像として記録した教育用BD。,
3063,"最上級戦術教育BD
（アリウス）",,アリウスの生徒の戦術活動を映像として記録した教育用BD。,
3070,"初級戦術教育BD
（山海経）",,山海経の生徒の戦術活動を映像として記録した教育用BD。,
3071,"中級戦術教育BD
（山海経）",,山海経の生徒の戦術活動を映像として記録した教育用BD。,
3072,"上級戦術教育BD
（山海経）",,山海経の生徒の戦術活動を映像として記録した教育用BD。,
3073,"最上級戦術教育BD
（山海経）",,山海経の生徒の戦術活動を映像として記録した教育用BD。,
3080,"初級戦術教育BD
（ヴァルキューレ）",,ヴァルキューレの生徒の戦術活動を映像として記録した教育用BD。,
3081,"中級戦術教育BD
（ヴァルキューレ）",,ヴァルキューレの生徒の戦術活動を映像として記録した教育用BD。,
3082,"上級戦術教育BD
（ヴァルキューレ）",,ヴァルキューレの生徒の戦術活動を映像として記録した教育用BD。,
3083,"最上級戦術教育BD
（ヴァルキューレ）",,ヴァルキューレの生徒の戦術活動を映像として記録した教育用BD。,
4000,"初級技術ノート
（百鬼夜行）",,百鬼夜行連合学院の戦術の極意がまとめられているノート。,
4001,"中級技術ノート
（百鬼夜行）",,百鬼夜行連合学院の戦術の極意がまとめられているノート。,
4002,"上級技術ノート
（百鬼夜行）",,百鬼夜行連合学院の戦術の極意がまとめられているノート。,
4003,"最上級技術ノート
（百鬼夜行）",,百鬼夜行連合学院の戦術の極意がまとめられているノート。,
4010,"初級技術ノート
（レッドウィンター）",,レッドウィンター連邦学園の戦術の極意がまとめられているノート。,
4011,"中級技術ノート
（レッドウィンター）",,レッドウィンター連邦学園の戦術の極意がまとめられているノート。,
4012,"上級技術ノート
（レッドウィンター）",,レッドウィンター連邦学園の戦術の極意がまとめられているノート。,
4013,"最上級技術ノート
（レッドウィンター）",,レッドウィンター連邦学園の戦術の極意がまとめられているノート。,
4020,"初級技術ノート
（トリニティ）",,トリニティ総合学園の戦術の極意がまとめられているノート。,
4021,"中級技術ノート
（トリニティ）",,トリニティ総合学園の戦術の極意がまとめられているノート。,
4022,"上級技術ノート
（トリニティ）",,トリニティ総合学園の戦術の極意がまとめられているノート。,
4023,"最上級技術ノート
（トリニティ）",,トリニティ総合学園の戦術の極意がまとめられているノート。,
4030,"初級技術ノート
（ゲヘナ）",,ゲヘナ学園の戦術の極意がまとめられているノート。,
4031,"中級技術ノート
（ゲヘナ）",,ゲヘナ学園の戦術の極意がまとめられているノート。,
4032,"上級技術ノート
（ゲヘナ）",,ゲヘナ学園の戦術の極意がまとめられているノート。,
4033,"最上級技術ノート
（ゲヘナ）",,ゲヘナ学園の戦術の極意がまとめられているノート。,
4040,"初級技術ノート
（アビドス）",,アビドス高等学校の戦術の極意がまとめられているノート。,
